question,start,end
what is the price of 10 Year Audit Log Retention Add On,21,55
what is the price of Advanced Communications,21,44
what is the price of Advanced eDiscovery Storage,21,48
what is the price of AI Builder Capacity add on,21,47
what is the price of Azure Active Directory Premium P1,21,54
what is the price of Azure Active Directory Premium P2,21,54
what is the price of Azure Information Protection Premium P1,21,60
what is the price of Business Apps free,21,39
what is the price of Chat session for Virtual Agent,21,51
what is the price of Common Area Phone,21,38
what is the price of Common Data Service Database Capacity,21,58
what is the price of Common Data Service File Capacity,21,54
what is the price of Common Data Service Log Capacity,21,53
what is the price of Dynamics 365 Operations Order Lines,21,56
what is the price of Dynamics 365 Asset Management Addl Assets,21,62
what is the price of Dynamics 365 Business Central Additional Environment Addon,21,79
what is the price of Dynamics 365 Business Central Database Capacity Overage,21,76
what is the price of Dynamics 365 Business Central Database Capacity 100GB,21,74
what is the price of Dynamics 365 Business Central Database Capacity,21,68
what is the price of Dynamics 365 Business Central Device,21,57
what is the price of Dynamics 365 Business Central Essentials,21,61
what is the price of Dynamics 365 Business Central External Accountant,21,70
what is the price of Dynamics 365 Business Central Premium,21,58
what is the price of Dynamics 365 Business Central Team Members,21,63
what is the price of Dynamics 365 Commerce,21,42
what is the price of Dynamics 365 Commerce Attach to Qualifying Dynamics 365 Base Offer,21,87
what is the price of Dynamics 365 e Commerce Tier 2 Band 5 Overage,21,66
what is the price of Dynamics 365 e Commerce Tier 2 Band 5,21,58
what is the price of Dynamics 365 e Commerce Tier 2 Band 6 Overage,21,66
what is the price of Dynamics 365 e Commerce Tier 2 Band 6,21,58
what is the price of Dynamics 365 e Commerce Tier 3 Band 1 Overage,21,66
what is the price of Dynamics 365 e Commerce Tier 3 Band 1,21,58
what is the price of Dynamics 365 e Commerce Tier 3 Band 2 Overage,21,66
what is the price of Dynamics 365 e Commerce Tier 3 Band 2,21,58
what is the price of Dynamics 365 e Commerce Tier 3 Band 3,21,58
what is the price of Dynamics 365 e Commerce Tier 3 Band 3 Overage,21,66
what is the price of Dynamics 365 e Commerce Tier 1 Band 4,21,58
